"I.am.a.girl","user_gender","X","X.1"
"I am girl","user_gender","",""
"girl","user_gender","",""
"I am a boy","user_gender","",""
"I am boy","user_gender","",""
"boy","user_gender","",""
"I am a man","user_gender","",""
"man","user_gender","",""
"I am a male","user_gender","",""
"male","user_gender","",""
"I am a woman","user_gender","",""
"woman","user_gender","",""
"I am a woman","user_gender","",""
"woman","user_gender","",""
"I am a female","user_gender","",""
"female","user_gender","",""
"I am 26 years old","user_age","",""
"I am 26","user_age","",""
"I am 26","user_age","",""
"26","user_age","",""
"36","user_age","",""
"I am 89","user_age","",""
"45","user_age","",""
"89","user_age","",""
"56","user_age","",""
"75","user_age","",""
"I am 12","user_age","",""
"26","user_age","",""
"42","user_age","",""
"57","user_age","",""
"86","user_age","",""
"32","user_age","",""
"34","user_age","",""
"I want cloths","query_cloth","",""
"I am looking for cloths","query_cloth","",""
"I want * cloths","query_cloth","",""
"I am in search of cloths","query_cloth","",""
"I need cloths","query_cloth","",""
"cloths","query_cloth","",""
"cloth","query_cloth","",""
"textile","query_cloth","",""
"fabric","query_cloth","",""
"what * cloths do you have?","query_cloth","",""
"What types of cloths *","query_cloth","",""
"what sort of cloths do you have?","query_cloth","",""
"what * cloths *","query_cloth","",""
"I am a 26 years old man looking for cloths","query_cloth","user_gender","user_age"
"I am a girl and want cloths","query_cloth","user_gender",""
"I am a man and want some jackets","query_cloth","",""
